DATE,52WK HIGH,52WK LOW,SECTOR,COMPANY, ISIN  CODE, STATUS,BID,ASK,HIGH,LOW,PREVIOUS PRICE,VOLUME,TOTAL NO OF SHARES ISSUED,MRT CAP ,VWAP,10 % up, 10% down 
1/12/2023,14.5,10,AGRICULTURAL,Eaagads Ltd Ord 1.25 AIMS,KE0000000208,,11.8,,12.7,12.7,11.8,"1,900","32,157,000","408,393,900",12.7,13.97,11.43
1/12/2023,430,240,AGRICULTURAL,Kakuzi Plc Ord.5.00,KE0000000281,,385,406,,,385,-,"19,599,999","7,545,999,615",385,423.5,346.5
1/12/2023,249,81,AGRICULTURAL,Kapchorua Tea Kenya Plc Ord Ord 5.00AIMS,KE4000001760,cd,230,240,,,239.25,-,"7,824,000","1,871,892,000",239.25,263.18,215.33
1/12/2023,490,320,AGRICULTURAL,The Limuru Tea Co. Plc Ord 10.00AIMS,KE0000000356,,,,,,380,-,"2,400,000","912,000,000",380,418,342
1/12/2023,32.6,18,AGRICULTURAL,Sasini Plc Ord 1.00,KE0000000430,,19.95,20,20,20,18.95,"1,800","228,055,500","4,561,110,000",20,22,18
1/12/2023,275,120,AGRICULTURAL,Williamson Tea Kenya Plc Ord 5.00AIMS,KE0000000505,cd,230,231.75,231.75,231.75,231.25,200,"17,512,640","4,058,554,320",231.75,254.93,208.58
1/12/2023,49,21.3,AUTOMOBILES & ACCESSORIES,Car & General (K) Ltd Ord 5.00,KE0000000109,,23.1,25,,,25.05,-,"80,206,616","2,009,175,731",25.05,27.56,22.55
1/12/2023,13,10,BANKING,ABSA Bank Kenya Plc Ord 0.50,KE0000000067,,11.4,11.45,11.5,10.55,11.1,"53,200","5,431,536,000","59,475,319,200",10.95,12.05,9.86
1/12/2023,37,26.5,BANKING,BK Group Plc Ord 0.80,KE5000008986,xd,30,36,,,33,-,"896,759,222","29,593,054,326",33,36.3,29.7
1/12/2023,55.5,43.05,BANKING,Diamond Trust Bank Kenya Ltd Ord 4.00,KE0000000158,,45,46,46,45,44.15,"6,300","279,602,220","12,791,801,565",45.75,50.33,41.18
1/12/2023,50,35,BANKING,Equity Group Holdings Plc Ord 0.50,KE0000000554,,38,38.5,38.5,37,36.5,"4,498,900","3,773,674,802","143,399,642,476",38,41.8,34.2
1/12/2023,5.2,2.8,BANKING,HF Group Plc Ord 5.00,KE0000000240,,3.68,3.96,3.96,3.7,3.6,"37,500","384,614,168","1,515,379,822",3.94,4.33,3.55
1/12/2023,21.5,15.8,BANKING,I&M Group Plc Ord 1.00,KE0000000125,,17.2,17.45,17.45,17.15,17.45,"15,700","1,653,621,476","28,690,332,609",17.35,19.09,15.62
1/12/2023,43,15,BANKING,KCB Group Plc Ord 1.00,KE0000000315,,18.95,19.4,19.7,18.9,18.85,"1,078,400","3,213,462,815","61,055,793,485",19,20.9,17.1
1/12/2023,42,28.5,BANKING,NCBA Group Plc Ord 5.00,KE0000000406,,36.3,39,39,36.05,38.9,"15,800","1,647,519,532","64,253,261,748",39,42.9,35.1
1/12/2023,132,90,BANKING,Stanbic Holdings Plc ord.5.00,KE0000000091,,104,108.75,109,102,102,"500,800","395,321,638","40,322,807,076",102,112.2,91.8
1/12/2023,172.5,134,BANKING,Standard Chartered Bank Kenya Ltd Ord 5.00,KE0000000448,cd,158,159.25,159,157,157.75,"26,200","377,861,629","59,891,068,197",158.5,174.35,142.65
1/12/2023,14,10.1,BANKING,The Co-operative Bank of Kenya Ltd Ord 1.00,KE1000001568,,11.4,11.5,11.5,11.3,11.4,"95,800","5,867,174,695","66,885,791,523",11.4,12.54,10.26
